PhoneNumber,TimeStamp,CallDuration,CompletionCode
9192939495,01-04-2024 13:18,480,Call Answered
9192939495,02-02-2024 17:03,420,Call Answered
9192939495,03-03-2024 15:19,420,Call Answered
9192939495,04-01-2024 09:57,600,Call Answered
9192939495,05-03-2024 10:09,180,Call Answered
9192939495,06-01-2024 12:14,600,Call Answered
9192939495,07-04-2024 13:14,300,Call Answered
9192939495,08-04-2024 10:01,540,Call Answered
9192939495,09-02-2024 12:04,540,Call Answered
9192939495,10-04-2024 12:02,60,Call Answered
9192939495,11-04-2024 11:01,180,Call Answered
9192939495,12-01-2024 10:35,300,Call Answered
9192939495,13-03-2024 15:16,600,Call Answered
9192939495,14-02-2024 13:39,0,Call Answered
9192939495,15-01-2024 10:52,480,Call Answered
9192939495,16-01-2024 09:06,120,Call Answered
9192939495,17-04-2024 09:36,60,Call Answered
9192939495,18-04-2024 14:02,60,Call Answered
9192939495,19-03-2024 10:55,480,Call Answered
9192939495,20-02-2024 17:45,0,Call Answered
9192939495,21-04-2024 17:03,300,Call Answered
9192939495,22-01-2024 17:33,420,Call Answered
9192939495,23-01-2024 13:59,480,Call Answered
9192939495,24-04-2024 11:18,240,Call Answered
9192939495,25-03-2024 13:14,300,Call Answered
9192939495,26-02-2024 11:58,360,Call Answered
9192939495,27-04-2024 12:01,420,Call Answered
9192939495,28-02-2024 16:20,540,Call Answered
9192939495,29-01-2024 12:34,120,Call Answered
9192939495,30-03-2024 09:23,480,Call Answered
9192939500,01-03-2024 12:47,300,Call Answered
9192939500,02-02-2024 14:57,0,Call Answered
9192939500,03-03-2024 15:37,480,Call Answered
9192939500,04-02-2024 10:45,300,Call Answered
9192939500,05-03-2024 14:36,60,Call Answered
9192939500,06-01-2024 11:07,420,Call Answered
9192939500,07-03-2024 13:39,480,Call Answered
9192939500,08-04-2024 11:11,480,Call Answered
9192939500,09-01-2024 09:13,0,Call Answered
9192939500,10-01-2024 16:53,600,Call Answered
9192939500,11-02-2024 09:17,600,Call Answered
9192939500,12-02-2024 13:51,180,Call Answered
9192939500,13-04-2024 14:02,480,Call Answered
9192939500,14-02-2024 11:10,0,Call Answered
9192939500,15-04-2024 11:35,420,Call Answered
9192939500,16-03-2024 11:35,360,Call Answered
9192939500,17-01-2024 14:09,480,Call Answered
9192939500,18-03-2024 14:19,420,Call Answered
9192939500,19-03-2024 10:10,0,Call Answered
9192939500,20-01-2024 14:22,240,Call Answered
9192939500,21-02-2024 12:48,240,Call Answered
9192939500,22-02-2024 10:25,420,Call Answered
9192939500,23-01-2024 10:58,360,Call Answered
9192939500,24-04-2024 09:20,180,Call Answered
9192939500,25-03-2024 11:01,600,Call Answered
9192939500,26-03-2024 16:38,0,Call Answered
9192939500,27-01-2024 13:10,60,Call Answered
9192939500,28-04-2024 09:58,180,Call Answered
9192939500,29-02-2024 11:51,480,Call Answered
9192939500,30-04-2024 14:49,120,Call Answered
